event_date,Ticker,Market
3/17/21,LCOc1,SPY
4/28/21,LCOc1,SPY
6/16/21,LCOc1,SPY
7/28/21,LCOc1,SPY
9/22/21,LCOc1,SPY
11/3/21,LCOc1,SPY
12/15/21,LCOc1,SPY
1/26/22,LCOc1,SPY
3/16/22,LCOc1,SPY
5/4/22,LCOc1,SPY
7/27/22,LCOc1,SPY
9/21/22,LCOc1,SPY
12/14/22,LCOc1,SPY
2/1/23,LCOc1,SPY
3/17/21,CLc1,SPY
4/28/21,CLc1,SPY
6/16/21,CLc1,SPY
7/28/21,CLc1,SPY
9/22/21,CLc1,SPY
11/3/21,CLc1,SPY
12/15/21,CLc1,SPY
1/26/22,CLc1,SPY
3/16/22,CLc1,SPY
5/4/22,CLc1,SPY
7/27/22,CLc1,SPY
9/21/22,CLc1,SPY
12/14/22,CLc1,SPY
2/1/23,CLc1,SPY
3/17/21,HOc1,SPY
4/28/21,HOc1,SPY
6/16/21,HOc1,SPY
7/28/21,HOc1,SPY
9/22/21,HOc1,SPY
11/3/21,HOc1,SPY
12/15/21,HOc1,SPY
1/26/22,HOc1,SPY
3/16/22,HOc1,SPY
5/4/22,HOc1,SPY
7/27/22,HOc1,SPY
9/21/22,HOc1,SPY
12/14/22,HOc1,SPY
2/1/23,HOc1,SPY
2/1/23,Wc1,SPY
3/17/21,Wc1,SPY
4/28/21,Wc1,SPY
6/16/21,Wc1,SPY
7/28/21,Wc1,SPY
9/22/21,Wc1,SPY
11/3/21,Wc1,SPY
12/15/21,Wc1,SPY
1/26/22,Wc1,SPY
3/16/22,Wc1,SPY
5/4/22,Wc1,SPY
7/27/22,Wc1,SPY
9/21/22,Wc1,SPY
12/14/22,Wc1,SPY
2/1/23,Wc1,SPY
3/17/21,Sc1,SPY
4/28/21,Sc1,SPY
6/16/21,Sc1,SPY
7/28/21,Sc1,SPY
9/22/21,Sc1,SPY
11/3/21,Sc1,SPY
12/15/21,Sc1,SPY
1/26/22,Sc1,SPY
3/16/22,Sc1,SPY
5/4/22,Sc1,SPY
7/27/22,Sc1,SPY
9/21/22,Sc1,SPY
12/14/22,Sc1,SPY
2/1/23,Sc1,SPY
3/17/21,RBc1,SPY
4/28/21,RBc1,SPY
6/16/21,RBc1,SPY
7/28/21,RBc1,SPY
9/22/21,RBc1,SPY
11/3/21,RBc1,SPY
12/15/21,RBc1,SPY
1/26/22,RBc1,SPY
3/16/22,RBc1,SPY
5/4/22,RBc1,SPY
7/27/22,RBc1,SPY
9/21/22,RBc1,SPY
12/14/22,RBc1,SPY
2/1/23,RBc1,SPY
3/17/21,CMZNc1,SPY
4/28/21,CMZNc1,SPY
6/16/21,CMZNc1,SPY
7/28/21,CMZNc1,SPY
9/22/21,CMZNc1,SPY
11/3/21,CMZNc1,SPY
12/15/21,CMZNc1,SPY
1/26/22,CMZNc1,SPY
3/16/22,CMZNc1,SPY
5/4/22,CMZNc1,SPY
7/27/22,CMZNc1,SPY
9/21/22,CMZNc1,SPY
12/14/22,CMZNc1,SPY
2/1/23,CMZNc1,SPY
3/17/21,TRGBNBPMc1,SPY
4/28/21,TRGBNBPMc1,SPY
6/16/21,TRGBNBPMc1,SPY
7/28/21,TRGBNBPMc1,SPY
9/22/21,TRGBNBPMc1,SPY
11/3/21,TRGBNBPMc1,SPY
12/15/21,TRGBNBPMc1,SPY
1/26/22,TRGBNBPMc1,SPY
3/16/22,TRGBNBPMc1,SPY
5/4/22,TRGBNBPMc1,SPY
7/27/22,TRGBNBPMc1,SPY
9/21/22,TRGBNBPMc1,SPY
12/14/22,TRGBNBPMc1,SPY
2/1/23,TRGBNBPMc1,SPY
3/17/21,KCc1,SPY
4/28/21,KCc1,SPY
6/16/21,KCc1,SPY
7/28/21,KCc1,SPY
9/22/21,KCc1,SPY
11/3/21,KCc1,SPY
12/15/21,KCc1,SPY
1/26/22,KCc1,SPY
3/16/22,KCc1,SPY
5/4/22,KCc1,SPY
7/27/22,KCc1,SPY
9/21/22,KCc1,SPY
12/14/22,KCc1,SPY
2/1/23,KCc1,SPY
3/17/21,CMCUc1,SPY
4/28/21,CMCUc1,SPY
6/16/21,CMCUc1,SPY
7/28/21,CMCUc1,SPY
9/22/21,CMCUc1,SPY
11/3/21,CMCUc1,SPY
12/15/21,CMCUc1,SPY
1/26/22,CMCUc1,SPY
3/16/22,CMCUc1,SPY
5/4/22,CMCUc1,SPY
7/27/22,CMCUc1,SPY
9/21/22,CMCUc1,SPY
12/14/22,CMCUc1,SPY
2/1/23,CMCUc1,SPY
